Name,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26
Slowking,Start - Heal Pulse,Start - Power Gem,Start - Hidden Power,Start - Curse,Start - Yawn,Start - Tackle,L5 - Growl,L9 - Water Gun,L14 - Confusion,L19 - Disable,L23 - Headbutt,L28 - Water Pulse,L32 - Zen Headbutt,L36 - Nasty Plot,L41 - Swagger,L45 - Psychic,L49 - Trump Card,L54 - Psych Up,L58 - Heal Pulse,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam
Misdreavus,Start - Growl,Start - Psywave,L5 - Spite,L10 - Astonish,L14 - Confuse Ray,L19 - Mean Look,L23 - Hex,L28 - Psybeam,L32 - Pain Split,L37 - Payback,L41 - Shadow Ball,L46 - Perish Song,L50 - Grudge,L55 - Power Gem,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic
Unown,Start - Hidden Power,,,,,,,,,,,,,,,,,,,,,,,,,
Wobbuffet,Start - Counter,Start - Mirror Coat,Start - Safe Guard,Start - Destiny Bond,TM20 - Safeguard,Prev - Splash,Prev - Charm,Prev - Encore,,,,,,,,,,,,,,,,,,
Girafarig,Start - Power Swap,Start - Guard Swap,Start - Astonish,Start - Tackle,Start - Growl,Start - Confusion,L5 - Odor Sleuth,L10 - Assurance,L14 - Stomp,L19 - Psybeam,L23 - Agility,L28 - Double Hit,L32 - Zen Headbutt,L37 - Crunch,L41 - Baton Pass,L46 - Nasty Plot,L50 - Psychic,TM01 - Work Up,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance
Pineco,Start - Tackle,Start - Protect,L6 - Self-Destruct,L9 - Bug Bite,L12 - Take Down,L17 - Rapid Spin,L20 - Bide,L23 - Natural Gift,L28 - Spikes,L31 - Payback,L34 - Explosion,L39 - Iron Defense,L42 - Gyro Ball,L45 - Double-Edge,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM21 - Frustration,TM22 - Solar Beam,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM33 - Reflect
Forretress,Start - Mirror Shot,Start - Autotomize,Start - Mirror Shot,Start - Autotomize,Start - Heavy Slam,Start - Zap Cannon,Start - Magnet Rise,Start - Toxic Spikes,Start - Tackle,Start - Protect,Start - Self-Destruct,Start - Bug Bite,L6 - Self-Destruct,L9 - Bug Bite,L12 - Take Down,L17 - Rapid Spin,L20 - Bide,L23 - Natural Gift,L28 - Spikes,L32 - Payback,L36 - Explosion,L42 - Iron Defense,L46 - Gyro Ball,L50 - Double-Edge,L56 - Magnet Rise,L60 - Zap Cannon
Dunsparce,Start - Rage,Start - Defense Curl,L3 - Rollout,L6 - Spite,L8 - Pursuit,L11 - Screech,L13 - Yawn,L16 - Ancient Power,L18 - Body Slam,L21 - Drill Run,L23 - Roost,L26 - Take Down,L28 - Coil,L31 - Dig,L33 - Glare,L36 - Double-Edge,L38 - Endeavor,L41 - Air Slash,L43 - Dragon Rush,L46 - Endure,L48 - Flail,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam
Gligar,Start - Poison Sting,L4 - Sand Attack,L7 - Harden,L10 - Knock Off,L13 - Quick Attack,L16 - Fury Cutter,L19 - Feint Attack,L22 - Acrobatics,L27 - Slash,L30 - U-turn,L35 - Screech,L40 - X-Scissor,L45 - Sky Uppercut,L50 - Swords Dance,L55 - Guillotine,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM21 - Frustration,TM26 - Earthquake,TM27 - Return
Steelix,Start - Thunder Fang,Start - Ice Fang,Start - Fire Fang,Start - Mud Sport,Start - Tackle,Start - Harden,Start - Bind,L4 - Curse,L7 - Rock Throw,L10 - Rock Tomb,L13 - Rage,L16 - Stealth Rock,L19 - Autotomize,L20 - Gyro Ball,L22 - Smack Down,L25 - Dragon Breath,L28 - Slam,L31 - Screech,L34 - Rock Slide,L37 - Crunch,L40 - Iron Tail,L43 - Dig,L46 - Stone Edge,L49 - Double-Edge,L52 - Sandstorm,TM05 - Roar
Steelix,Start - Thunder Fang,Start - Ice Fang,Start - Fire Fang,Start - Mud Sport,Start - Tackle,Start - Harden,Start - Bind,L4 - Curse,L7 - Rock Throw,L10 - Rock Tomb,L13 - Rage,L16 - Stealth Rock,L19 - Autotomize,L20 - Gyro Ball,L22 - Smack Down,L25 - Dragon Breath,L28 - Slam,L31 - Screech,L34 - Rock Slide,L37 - Crunch,L40 - Iron Tail,L43 - Dig,L46 - Stone Edge,L49 - Double-Edge,L52 - Sandstorm,TM05 - Roar
Snubbull,Start - Ice Fang,Start - Fire Fang,Start - Thunder Fang,Start - Tackle,Start - Scary Face,Start - Tail Whip,Start - Charm,L7 - Bite,L13 - Lick,L19 - Headbutt,L25 - Roar,L31 - Rage,L37 - Play Rough,L43 - Payback,L49 - Crunch,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM22 - Solar Beam
Granbull,Start - Outrage,Start - Ice Fang,Start - Fire Fang,Start - Thunder Fang,Start - Tackle,Start - Scary Face,Start - Tail Whip,Start - Charm,L7 - Bite,L13 - Lick,L19 - Headbutt,L27 - Roar,L35 - Rage,L43 - Play Rough,L51 - Payback,L59 - Crunch,L67 - Outrage,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect
Qwilfish,Start - Fell Stinger,Start - Hydro Pump,Start - Destiny Bond,Start - Water Gun,Start - Spikes,Start - Tackle,Start - Poison Sting,L9 - Harden,L9 - Minimize,L13 - Bubble,L17 - Rollout,L21 - Toxic Spikes,L25 - Stockpile,L25 - Spit Up,L29 - Revenge,L33 - Brine,L37 - Pin Missile,L41 - Take Down,L45 - Aqua Tail,L49 - Poison Jab,L53 - Destiny Bond,L57 - Hydro Pump,L60 - Fell Stinger,TM06 - Toxic,TM07 - Hail,TM09 - Venoshock
Scizor,Start - Feint,Start - Bullet Punch,Start - Quick Attack,Start - Leer,L5 - Focus Energy,L9 - Pursuit,L13 - False Swipe,L17 - Agility,L21 - Metal Claw,L25 - Fury Cutter,L29 - Slash,L33 - Razor Wind,L37 - Iron Defense,L41 - X-Scissor,L45 - Night Slash,L49 - Double Hit,L50 - Iron Head,L57 - Swords Dance,L61 - Feint,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect
Scizor,Start - Feint,Start - Bullet Punch,Start - Quick Attack,Start - Leer,L5 - Focus Energy,L9 - Pursuit,L13 - False Swipe,L17 - Agility,L21 - Metal Claw,L25 - Fury Cutter,L29 - Slash,L33 - Razor Wind,L37 - Iron Defense,L41 - X-Scissor,L45 - Night Slash,L49 - Double Hit,L50 - Iron Head,L57 - Swords Dance,L61 - Feint,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect
Shuckle,Start - Sticky Web,Start - Withdraw,Start - Constrict,Start - Bide,Start - Rollout,L5 - Encore,L9 - Wrap,L12 - Struggle Bug,L16 - Safeguard,L20 - Rest,L23 - Rock Throw,L27 - Gastro Acid,L31 - Power Trick,L34 - Shell Smash,L38 - Rock Slide,L42 - Bug Bite,L45 - Power Split,L45 - Guard Split,L49 - Stone Edge,L53 - Sticky Web,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM20 - Safeguard
Heracross,Start - Arm Thrust,Start - Bullet Seed,Start - Night Slash,Start - Tackle,Start - Leer,Start - Horn Attack,Start - Endure,L7 - Feint,L10 - Aerial Ace,L16 - Chip Away,L19 - Counter,L25 - Fury Attack,L28 - Brick Break,L31 - Pin Missile,L34 - Take Down,L37 - Megahorn,L43 - Close Combat,L46 - Reversal,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect
Heracross,Start - Arm Thrust,Start - Bullet Seed,Start - Night Slash,Start - Tackle,Start - Leer,Start - Horn Attack,Start - Endure,L7 - Feint,L10 - Aerial Ace,L16 - Chip Away,L19 - Counter,L25 - Fury Attack,L28 - Brick Break,L31 - Pin Missile,L34 - Take Down,L37 - Megahorn,L43 - Close Combat,L46 - Reversal,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect
Sneasel,Start - Scratch,Start - Leer,Start - Taunt,L8 - Quick Attack,L10 - Feint Attack,L14 - Icy Wind,L16 - Fury Swipes,L20 - Agility,L22 - Metal Claw,L25 - Hone Claws,L28 - Beat Up,L32 - Screech,L35 - Slash,L40 - Snatch,L44 - Punishment,L47 - Ice Shard,TM04 - Calm Mind,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance
Teddiursa,Start - Fling,Start - Covet,Start - Scratch,Start - Baby-Doll Eyes,Start - Lick,Start - Fake Tears,L8 - Fury Swipes,L15 - Feint Attack,L22 - Sweet Scent,L25 - Play Nice,L29 - Slash,L36 - Charm,L43 - Rest,L43 - Snore,L50 - Thrash,L57 - Fling,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration
Ursaring,Start - Hammer Arm,Start - Covet,Start - Scratch,Start - Leer,Start - Lick,Start - Fake Tears,L8 - Fury Swipes,L15 - Feint Attack,L22 - Sweet Scent,L25 - Play Nice,L29 - Slash,L38 - Scary Face,L47 - Rest,L49 - Snore,L58 - Thrash,L67 - Hammer Arm,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance
Slugma,Start - Yawn,Start - Smog,L6 - Ember,L8 - Rock Throw,L13 - Harden,L15 - Incinerate,L20 - Clear Smog,L22 - Ancient Power,L27 - Flame Burst,L29 - Rock Slide,L34 - Lava Plume,L36 - Amnesia,L41 - Body Slam,L43 - Recover,L48 - Flamethrower,L50 - Earth Power,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM21 - Frustration,TM27 - Return,TM32 - Double Team,TM33 - Reflect,TM35 - Flamethrower
Magcargo,Start - Shell Smash,Start - Earth Power,Start - Yawn,Start - Smog,Start - Ember,Start - Rock Throw,L6 - Ember,L8 - Rock Throw,L13 - Harden,L15 - Incinerate,L20 - Clear Smog,L22 - Ancient Power,L27 - Flame Burst,L29 - Rock Slide,L34 - Lava Plume,L36 - Amnesia,L43 - Body Slam,L47 - Recover,L54 - Flamethrower,L58 - Earth Power,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect
Swinub,Start - Tackle,Start - Odor Sleuth,L5 - Mud Sport,L8 - Powder Snow,L11 - Mud-Slap,L14 - Endure,L18 - Mud Bomb,L21 - Icy Wind,L24 - Ice Shard,L28 - Take Down,L35 - Mist,L37 - Earthquake,L40 - Flail,L44 - Blizzard,L48 - Amnesia,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake
Piloswine,Start - Fury Attack,Start - Ancient Power,Start - Peck,Start - Odor Sleuth,Start - Mud Sport,Start - Powder Snow,L5 - Mud Sport,L8 - Powder Snow,L11 - Mud-Slap,L14 - Endure,L18 - Mud Bomb,L21 - Icy Wind,L24 - Ice Fang,L28 - Take Down,L37 - Mist,L41 - Thrash,L46 - Earthquake,L52 - Blizzard,L58 - Amnesia,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Corsola,Start - Tackle,Start - Harden,L4 - Bubble,L8 - Recover,L10 - Bubble Beam,L13 - Refresh,L17 - Ancient Power,L20 - Spike Cannon,L23 - Lucky Chant,L27 - Brine,L29 - Iron Defense,L31 - Rock Blast,L35 - Endure,L38 - Aqua Ring,L41 - Power Gem,L45 - Mirror Coat,L47 - Earth Power,L50 - Flail,TM04 - Calm Mind,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM16 - Light Screen
Remoraid,Start - Water Gun,L6 - Lock-On,L10 - Psybeam,L14 - Aurora Beam,L18 - Bubble Beam,L22 - Focus Energy,L26 - Water Pulse,L30 - Signal Beam,L34 - Ice Beam,L38 - Bullet Seed,L42 - Hydro Pump,L46 - Hyper Beam,L50 - Soak,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM27 - Return,TM29 - Psychic,TM32 - Double Team
Octillery,Start - Octazooka,Start - Gunk Shot,Start - Rock Blast,Start - Water Gun,Start - Constrict,Start - Psybeam,Start - Aurora Beam,L6 - Constrict,L10 - Psybeam,L14 - Aurora Beam,L18 - Bubble Beam,L22 - Focus Energy,L28 - Wring Out,L34 - Signal Beam,L40 - Ice Beam,L46 - Bullet Seed,L52 - Hydro Pump,L58 - Hyper Beam,L64 - Soak,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect
Delibird,Start - Present,L25 - Drill Peck,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM40 - Aerial Ace,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM48 - Round,TM56 - Fling,TM59 - Brutal Swing,TM70 - Aurora Veil,TM76 - Fly,TM79 - Frost Breath,TM87 - Swagger,TM88 - Sleep Talk
Mantine,Start - Psybeam,Start - Bullet Seed,Start - Signal Beam,Start - Roost,Start - Tackle,Start - Bubble,Start - Supersonic,Start - Bubble Beam,L3 - Supersonic,L7 - Bubble Beam,L11 - Confuse Ray,L14 - Wing Attack,L16 - Headbutt,L19 - Water Pulse,L23 - Wide Guard,L27 - Take Down,L32 - Agility,L36 - Air Slash,L39 - Aqua Ring,L46 - Bounce,L49 - Hydro Pump,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard
Skarmory,Start - Leer,Start - Peck,L6 - Sand Attack,L9 - Metal Claw,L12 - Air Cutter,L17 - Fury Attack,L20 - Feint,L23 - Swift,L28 - Spikes,L31 - Agility,L34 - Steel Wing,L39 - Slash,L42 - Metal Sound,L45 - Air Slash,L50 - Autotomize,L53 - Night Slash,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM19 - Roost,TM21 - Frustration,TM27 - Return,TM32 - Double Team
Houndour,Start - Leer,Start - Ember,L4 - Howl,L8 - Smog,L13 - Roar,L16 - Bite,L20 - Odor Sleuth,L25 - Beat Up,L28 - Fire Fang,L32 - Feint Attack,L37 - Embargo,L40 - Foul Play,L44 - Flamethrower,L49 - Crunch,L52 - Nasty Plot,L56 - Inferno,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM30 - Shadow Ball
Houndoom,Start - Inferno,Start - Nasty Plot,Start - Thunder Fang,Start - Leer,Start - Ember,Start - Howl,Start - Smog,L4 - Howl,L8 - Smog,L13 - Roar,L16 - Bite,L20 - Odor Sleuth,L26 - Beat Up,L30 - Fire Fang,L35 - Feint Attack,L41 - Embargo,L45 - Foul Play,L50 - Flamethrower,L56 - Crunch,L60 - Nasty Plot,L65 - Inferno,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt
Houndoom,Start - Inferno,Start - Nasty Plot,Start - Thunder Fang,Start - Leer,Start - Ember,Start - Howl,Start - Smog,L4 - Howl,L8 - Smog,L13 - Roar,L16 - Bite,L20 - Odor Sleuth,L26 - Beat Up,L30 - Fire Fang,L35 - Feint Attack,L41 - Embargo,L45 - Foul Play,L50 - Flamethrower,L56 - Crunch,L60 - Nasty Plot,L65 - Inferno,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt
Kingdra,Start - Hydro Pump,Start - Yawn,Start - Bubble,Start - Smokescreen,Start - Leer,Start - Water Gun,L5 - Smokescreen,L9 - Leer,L13 - Water Gun,L17 - Twister,L21 - Bubble Beam,L26 - Focus Energy,L31 - Brine,L38 - Agility,L45 - Dragon Pulse,L52 - Dragon Dance,L60 - Hydro Pump,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration
Phanpy,Start - Odor Sleuth,Start - Tackle,Start - Growl,Start - Defense Curl,L6 - Flail,L10 - Rollout,L15 - Natural Gift,L19 - Endure,L24 - Slam,L28 - Take Down,L33 - Charm,L37 - Last Resort,L42 - Double-Edge,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM37 - Sandstorm,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest
Donphan,Start - Fury Attack,Start - Fire Fang,Start - Thunder Fang,Start - Horn Attack,Start - Bulldoze,Start - Growl,Start - Defense Curl,L6 - Rapid Spin,L10 - Rollout,L15 - Assurance,L19 - Knock Off,L24 - Slam,L30 - Magnitude,L37 - Scary Face,L43 - Earthquake,L50 - Giga Impact,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team
Porygon2,Start - Zap Cannon,Start - Magic Coat,Start - Conversion 2,Start - Tackle,Start - Conversion,Start - Defense Curl,L7 - Psybeam,L12 - Agility,L18 - Recover,L23 - Magnet Rise,L29 - Signal Beam,L34 - Recycle,L40 - Discharge,L45 - Lock-On,L50 - Tri Attack,L56 - Magic Coat,L62 - Zap Cannon,L67 - Hyper Beam,TM03 - Psyshock,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect
Stantler,Start - Me First,Start - Tackle,L3 - Leer,L7 - Astonish,L10 - Hypnosis,L13 - Stomp,L16 - Sand Attack,L21 - Take Down,L23 - Confuse Ray,L27 - Calm Mind,L33 - Role Play,L38 - Zen Headbutt,L43 - Jump Kick,L49 - Imprison,L50 - Captivate,L55 - Me First,TM01 - Work Up,TM03 - Psyshock,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance
Smeargle,Start - Sketch,L11 - Sketch,L21 - Sketch,L31 - Sketch,L41 - Sketch,L51 - Sketch,L61 - Sketch,L71 - Sketch,L81 - Sketch,L91 - Sketch,,,,,,,,,,,,,,,,
Tyrogue,Start - Tackle,Start - Helping Hand,Start - Fake Out,Start - Foresight,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Low Sweep,TM48 - Round,TM78 - Bulldoze,TM80 - Rock Slide,TM87 - Swagger,TM88 - Sleep Talk
Hitmontop,Start - Rolling Kick,Start - Endeavor,Start - Close Combat,Start - Detect,Start - Revenge,Start - Focus Energy,Start - Pursuit,Start - Quick Attack,L6 - Focus Energy,L10 - Pursuit,L15 - Quick Attack,L19 - Rapid Spin,L24 - Feint,L28 - Counter,L33 - Triple Kick,L37 - Agility,L42 - Gyro Ball,L46 - Wide Guard,L46 - Quick Guard,L50 - Detect,L55 - Close Combat,L60 - Endeavor,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power
Smoochum,Start - Pound,L5 - Lick,L8 - Sweet Kiss,L11 - Powder Snow,L15 - Confusion,L18 - Sing,L21 - Heart Stamp,L25 - Mean Look,L28 - Fake Tears,L31 - Lucky Chant,L35 - Avalanche,L38 - Psychic,L41 - Copycat,L45 - Perish Song,L48 - Blizzard,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration
Elekid,Start - Quick Attack,Start - Leer,L5 - Thunder Shock,L8 - Low Kick,L12 - Swift,L15 - Shock Wave,L19 - Thunder Wave,L22 - Electro Ball,L26 - Light Screen,L29 - Thunder Punch,L33 - Discharge,L36 - Screech,L40 - Thunderbolt,L43 - Thunder,TM06 - Toxic,TM10 - Hidden Power,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return,TM29 - Psychic,TM31 - Brick Break,TM32 - Double Team
Magby,Start - Smog,Start - Leer,L5 - Ember,L8 - Smokescreen,L12 - Feint Attack,L15 - Fire Spin,L19 - Clear Smog,L22 - Flame Burst,L26 - Confuse Ray,L29 - Fire Punch,L33 - Lava Plume,L36 - Sunny Day,L40 - Flamethrower,L43 - Fire Blast,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM42 - Facade
Miltank,Start - Tackle,L3 - Growl,L5 - Defense Curl,L8 - Stomp,L11 - Milk Drink,L15 - Bide,L19 - Rollout,L24 - Body Slam,L29 - Zen Headbutt,L35 - Captivate,L41 - Gyro Ball,L48 - Heal Bell,L50 - Wake-Up Slap,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM22 - Solar Beam,TM24 - Thunderbolt,TM25 - Thunder
Blissey,Start - Double-Edge,Start - Defense Curl,Start - Pound,Start - Growl,L5 - Tail Whip,L9 - Refresh,L12 - Double Slap,L16 - Soft-Boiled,L20 - Bestow,L23 - Minimize,L27 - Take Down,L31 - Sing,L34 - Fling,L38 - Heal Pulse,L42 - Egg Bomb,L46 - Light Screen,L50 - Healing Wish,L54 - Double-Edge,TM01 - Work Up,TM04 - Calm Mind,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard
Raikou,Start - Extrasensory,Start - Discharge,Start - Bite,Start - Leer,L8 - Thunder Shock,L15 - Roar,L22 - Quick Attack,L29 - Spark,L36 - Reflect,L43 - Crunch,L50 - Thunder Fang,L57 - Discharge,L64 - Extrasensory,L71 - Rain Dance,L78 - Calm Mind,L85 - Thunder,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration
Entei,Start - Sacred Fire,Start - Eruption,Start - Extrasensory,Start - Lava Plume,Start - Bite,Start - Leer,L8 - Ember,L15 - Roar,L22 - Fire Spin,L29 - Stomp,L36 - Flamethrower,L43 - Swagger,L50 - Fire Fang,L57 - Lava Plume,L64 - Extrasensory,L71 - Fire Blast,L78 - Calm Mind,L85 - Eruption,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance
Suicune,Start - Sheer Cold,Start - Bite,Start - Leer,Start - Bubble Beam,Start - Rain Dance,L8 - Bubble Beam,L15 - Rain Dance,L22 - Gust,L29 - Aurora Beam,L36 - Mist,L43 - Mirror Coat,L50 - Ice Fang,L57 - Tailwind,L64 - Extrasensory,L71 - Hydro Pump,L78 - Calm Mind,L85 - Blizzard,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Larvitar,Start - Bite,Start - Leer,L5 - Sandstorm,L10 - Screech,L14 - Chip Away,L19 - Rock Slide,L23 - Scary Face,L28 - Thrash,L32 - Dark Pulse,L37 - Payback,L41 - Crunch,L46 - Earthquake,L50 - Stone Edge,L55 - Hyper Beam,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break
Pupitar,Start - Bite,Start - Leer,Start - Sandstorm,Start - Screech,L5 - Sandstorm,L10 - Screech,L14 - Chip Away,L19 - Rock Slide,L23 - Scary Face,L28 - Thrash,L34 - Dark Pulse,L41 - Payback,L47 - Crunch,L54 - Earthquake,L60 - Stone Edge,L67 - Hyper Beam,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM23 - Smack Down,TM26 - Earthquake
Tyranitar,Start - Thunder Fang,Start - Ice Fang,Start - Fire Fang,Start - Bite,Start - Leer,Start - Sandstorm,Start - Screech,L5 - Sandstorm,L10 - Screech,L14 - Chip Away,L19 - Rock Slide,L23 - Scary Face,L28 - Thrash,L34 - Dark Pulse,L41 - Payback,L47 - Crunch,L54 - Earthquake,L63 - Stone Edge,L73 - Hyper Beam,L82 - Giga Impact,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt
