,ndex,species,pokemon,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,move73,move74,move75,move76,move77,move78,move79,move80,move81,move82,move83,move84,move85,move86,move87,move88,move89,move90,move91,move92,move93,move94,move95,move96,move97,move98,move99,move100,move101,move102,move103,move104,move105,move106,move107,move108,move109,move110,move111,move112,move113,move114,move115,move116,move117,move118,move119,move120,move121,move122,move123,move124,move125,move126,move127,move128,move129,move130,move131,move132,move133,move134,move135,move136,move137,move138,move139,move140,move141,move142,move143,move144,move145,move146,move147,move148,move149,move150,move151,move152,move153,move154,move155,move156,move157,move158,move159,move160,move161,move162,move163,move164,move165,move166,move167,move168,move169,move170,move171,move172,move173,move174
371,317,Swalot,Swalot,Start - Body Slam,Start - Venom Drench,Start - Gunk Shot,Start - Wring Out,Start - Pound,Start - Yawn,Start - Poison Gas,Start - Sludge,L5 - Yawn,L8 - Poison Gas,L10 - Sludge,L12 - Amnesia,L17 - Acid Spray,L20 - Encore,L25 - Toxic,L30 - Stockpile,L30 - Spit Up,L30 - Swallow,L37 - Sludge Bomb,L42 - Gastro Acid,L49 - Belch,L54 - Wring Out,L61 - Gunk Shot,06 - Toxic,09 - Venoshock,10 - Hidden Power,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Snatch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
372,318,Carvanha,Carvanha,Start - Leer,Start - Bite,L4 - Rage,L8 - Focus Energy,L11 - Aqua Jet,L15 - Assurance,L18 - Screech,L22 - Swagger,L25 - Ice Fang,L29 - Scary Face,L32 - Poison Fang,L36 - Crunch,L39 - Agility,L43 - Take Down,06 - Toxic,07 - Hail,10 - Hidden Power,12 - Taunt,13 - Ice Beam,14 - Blizzard,17 - Protect,18 - Rain Dance,21 - Frustration,27 - Return,32 - Double Team,41 - Torment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
373,319,Sharpedo,Sharpedo,Start - Slash,Start - Night Slash,Start - Feint,Start - Leer,Start - Bite,Start - Rage,Start - Focus Energy,L4 - Rage,L8 - Focus Energy,L11 - Aqua Jet,L15 - Assurance,L18 - Screech,L22 - Swagger,L25 - Ice Fang,L29 - Scary Face,L34 - Poison Fang,L40 - Crunch,L45 - Agility,L51 - Skull Bash,L56 - Taunt,L62 - Night Slash,05 - Roar,06 - Toxic,07 - Hail,10 - Hidden Power,12 - Taunt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
374,319,Sharpedo,Sharpedo (Mega Sharpedo),Start - Slash,Start - Night Slash,Start - Feint,Start - Leer,Start - Bite,Start - Rage,Start - Focus Energy,L4 - Rage,L8 - Focus Energy,L11 - Aqua Jet,L15 - Assurance,L18 - Screech,L22 - Swagger,L25 - Ice Fang,L29 - Scary Face,L34 - Poison Fang,L40 - Crunch,L45 - Agility,L51 - Skull Bash,L56 - Taunt,L62 - Night Slash,05 - Roar,06 - Toxic,07 - Hail,10 - Hidden Power,12 - Taunt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
375,320,Wailmer,Wailmer,Start - Splash,L4 - Growl,L7 - Water Gun,L10 - Rollout,L13 - Whirlpool,L16 - Astonish,L19 - Water Pulse,L22 - Mist,L25 - Brine,L29 - Rest,L33 - Water Spout,L37 - Amnesia,L41 - Dive,L45 - Bounce,L49 - Hydro Pump,L53 - Heavy Slam,05 - Roar,06 - Toxic,07 - Hail,10 - Hidden Power,13 - Ice Beam,14 - Blizzard,17 - Protect,18 - Rain Dance,21 - Frustration,26 - Earthquake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
376,321,Wailord,Wailord,Start - Soak,Start - Noble Roar,Start - Heavy Slam,Start - Splash,Start - Growl,Start - Water Gun,Start - Rollout,L4 - Growl,L7 - Water Gun,L10 - Rollout,L13 - Whirlpool,L16 - Astonish,L19 - Water Pulse,L22 - Mist,L25 - Brine,L29 - Rest,L33 - Water Spout,L37 - Amnesia,L44 - Dive,L51 - Bounce,L58 - Hydro Pump,L65 - Heavy Slam,05 - Roar,06 - Toxic,07 - Hail,10 - Hidden Power,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
377,322,Numel,Numel,Start - Growl,Start - Tackle,L5 - Ember,L8 - Focus Energy,L12 - Magnitude,L15 - Flame Burst,L19 - Amnesia,L22 - Lava Plume,L26 - Earth Power,L29 - Curse,L31 - Take Down,L36 - Yawn,L40 - Earthquake,L43 - Flamethrower,L47 - Double-Edge,06 - Toxic,10 - Hidden Power,11 - Sunny Day,17 - Protect,21 - Frustration,26 - Earthquake,27 - Return,32 - Double Team,35 - Flamethrower,37 - Sandstorm,38 - Fire Blast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
378,323,Camerupt,Camerupt,Start - Rock Slide,Start - Fissure,Start - Eruption,Start - Growl,Start - Tackle,Start - Ember,Start - Focus Energy,L8 - Ember,L8 - Focus Energy,L12 - Magnitude,L15 - Flame Burst,L19 - Amnesia,L22 - Lava Plume,L26 - Earth Power,L29 - Curse,L31 - Take Down,L39 - Yawn,L46 - Earthquake,L52 - Eruption,L59 - Fissure,05 - Roar,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Earth Power,ORAS - Snore,ORAS - Heat Wave,ORAS - After You,ORAS - Stealth Rock,Prev - Flamethrower,Prev - Double-Edge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
379,323,Camerupt,Camerupt (Mega Camerupt),Start - Rock Slide,Start - Fissure,Start - Eruption,Start - Growl,Start - Tackle,Start - Ember,Start - Focus Energy,L5 - Ember,L8 - Focus Energy,L12 - Magnitude,L15 - Flame Burst,L19 - Amnesia,L22 - Lava Plume,L26 - Earth Power,L29 - Curse,L31 - Take Down,L39 - Yawn,L46 - Earthquake,L52 - Eruption,L59 - Fissure,05 - Roar,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Earth Power,ORAS - Snore,ORAS - Heat Wave,ORAS - After You,ORAS - Stealth Rock,Prev - Flamethrower,Prev - Double-Edge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
380,324,Torkoal,Torkoal,Start - Ember,L4 - Smog,L7 - Withdraw,L10 - Rapid Spin,L13 - Fire Spin,L15 - Smokescreen,L18 - Flame Wheel,L22 - Curse,L25 - Lava Plume,L27 - Body Slam,L30 - Protect,L34 - Flamethrower,L38 - Iron Defense,L40 - Amnesia,L42 - Flail,L45 - Heat Wave,L47 - Shell Smash,L50 - Inferno,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,21 - Frustration,22 - Solar Beam,26 - Earthquake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
381,325,Spoink,Spoink,Start - Splash,L7 - Psywave,L10 - Odor Sleuth,L14 - Psybeam,L15 - Psych Up,L18 - Confuse Ray,L21 - Magic Coat,L26 - Zen Headbutt,L29 - Power Gem,L29 - Rest,L33 - Snore,L38 - Psyshock,L40 - Payback,L44 - Psychic,L50 - Bounce,03 - Psyshock,04 - Calm Mind,06 - Toxic,10 - Hidden Power,11 - Sunny Day,12 - Taunt,16 - Light Screen,17 - Protect,18 - Rain Dance,21 - Frustration,27 - Return,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Skill Swap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
382,326,Grumpig,Grumpig,Start - Teeter Dance,Start - Belch,Start - Splash,Start - Psywave,Start - Odor Sleuth,Start - Psybeam,L7 - Psywave,L10 - Odor Sleuth,L14 - Psybeam,L15 - Psych Up,L18 - Confuse Ray,L21 - Magic Coat,L26 - Zen Headbutt,L29 - Power Gem,L35 - Rest,L35 - Snore,L42 - Psyshock,L46 - Payback,L52 - Psychic,L60 - Bounce,03 - Psyshock,04 - Calm Mind,06 - Toxic,10 - Hidden Power,11 - Sunny Day,12 - Taunt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Bounce,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Ice Punch,ORAS - Magic Coat,ORAS - Icy Wind,ORAS - Zen Headbutt,ORAS - Iron Tail,ORAS - Snore,ORAS - Role Play,ORAS - Heal Bell,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Trick,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
383,327,Spinda,Spinda,Start - Tackle,L5 - Copycat,L10 - Feint Attack,L14 - Psybeam,L19 - Hypnosis,L23 - Dizzy Punch,L28 - Sucker Punch,L32 - Teeter Dance,L37 - Uproar,L41 - Psych Up,L46 - Double-Edge,L50 - Flail,L55 - Thrash,01 - Work Up,04 - Calm Mind,06 - Toxic,10 - Hidden Power,11 - Sunny Day,17 - Protect,18 - Rain Dance,20 - Safeguard,21 - Frustration,27 - Return,29 - Psychic,30 - Shadow Ball,31 - Brick Break,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Drain Punch,ORAS - Focus Punch,ORAS - Shock Wave,ORAS - Water Pulse,ORAS - Helping Hand,ORAS - Trick,ORAS - Recycle,ORAS - Snatch,ORAS - Skill Swap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
384,328,Trapinch,Trapinch,Start - Sand Attack,Start - Bite,Start - Feint Attack,Start - Bide,L5 - Mud-Slap,L8 - Bulldoze,L12 - Sand Tomb,L15 - Rock Slide,L19 - Dig,L22 - Crunch,L26 - Earth Power,L29 - Feint,L33 - Earthquake,L36 - Sandstorm,L40 - Superpower,L43 - Hyper Beam,L47 - Fissure,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,21 - Frustration,22 - Solar Beam,26 - Earthquake,27 - Return,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
385,329,Vibrava,Vibrava,Start - Dragon Breath,Start - Sand Attack,Start - Sonic Boom,Start - Feint Attack,Start - Bide,L5 - Mud-Slap,L8 - Bulldoze,L12 - Sand Tomb,L15 - Rock Slide,L19 - Supersonic,L22 - Screech,L26 - Earth Power,L29 - Bug Buzz,L33 - Earthquake,L36 - Sandstorm,L40 - Uproar,L43 - Hyper Beam,L47 - Boomburst,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,19 - Roost,21 - Frustration,22 - Solar Beam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Prev - Fissure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
386,330,Flygon,Flygon,Start - Dragon Claw,Start - Dragon Breath,Start - Dragon Dance,Start - Sand Attack,Start - Sonic Boom,Start - Feint Attack,Start - Bide,L5 - Mud-Slap,L8 - Bulldoze,L12 - Sand Tomb,L15 - Rock Slide,L19 - Supersonic,L22 - Screech,L26 - Earth Power,L29 - Dragon Tail,L33 - Earthquake,L36 - Sandstorm,L40 - Uproar,L43 - Hyper Beam,L47 - Dragon Rush,02 - Dragon Claw,06 - Toxic,10 - Hidden Power,11 - Sunny Day,15 - Hyper Beam,17 - Protect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Tailwind,ORAS - Giga Drain,ORAS - Air Cutter,ORAS - Outrage,Prev - Bug Buzz,Prev - Boomburst,Prev - Bite,Prev - Dig,Prev - Crunch,Prev - Feint,Prev - Superpower,Prev - Fissure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
387,331,Cacnea,Cacnea,Start - Poison Sting,Start - Leer,L4 - Absorb,L7 - Growth,L10 - Leech Seed,L13 - Sand Attack,L16 - Needle Arm,L19 - Feint Attack,L22 - Ingrain,L26 - Payback,L30 - Spikes,L34 - Sucker Punch,L38 - Pin Missile,L42 - Energy Ball,L46 - Cotton Spore,L50 - Sandstorm,L54 - Destiny Bond,06 - Toxic,09 - Venoshock,10 - Hidden Power,11 - Sunny Day,17 - Protect,21 - Frustration,22 - Solar Beam,27 - Return,31 - Brick Break,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ORAS - Spite,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
